"filename", "language", "vue", "TypeScript", "JavaScript", "Less", "SVG", "comment", "blank", "total"
"c:\Users\LENOVO\Desktop\Songs\src\views\singer\detailed.vue", "vue", 281, 0, 0, 0, 0, 0, 10, 291
"c:\Users\LENOVO\Desktop\Songs\src\views\singer\hot.vue", "vue", 41, 0, 0, 0, 0, 0, 3, 44
"c:\Users\LENOVO\Desktop\Songs\src\views\singer\subscribe.vue", "vue", 81, 0, 0, 0, 0, 0, 4, 85
"c:\Users\LENOVO\Desktop\Songs\src\views\singer\top.vue", "vue", 88, 0, 0, 0, 0, 0, 3, 91
"c:\Users\LENOVO\Desktop\Songs\src\views\song\detailed.vue", "vue", 8, 0, 0, 0, 0, 0, 3, 11
"c:\Users\LENOVO\Desktop\Songs\src\views\song\recommend.vue", "vue", 39, 0, 0, 0, 0, 0, 3, 42
"c:\Users\LENOVO\Desktop\Songs\src\views\song\subscribed-new-song.vue", "vue", 115, 0, 0, 0, 0, 0, 3, 118
"c:\Users\LENOVO\Desktop\Songs\src\views\user\home.vue", "vue", 10, 0, 0, 0, 0, 0, 1, 11
"c:\Users\LENOVO\Desktop\Songs\src\views\user\login-qr.vue", "vue", 89, 0, 0, 0, 0, 0, 3, 92
"Total", "-", 4301, 2510, 20, 378, 205, 472, 405, 8291
